author,comment,date_time,sentiment,sentiment_score
@maryw6835,W H Y ??? <br>Do you take pleasure in torturing sweet baby Ruda? <br>I think it would be a good idea. If you were evaluated as far as fitness to be a father I think you enjoy torturing and making that little girl cry I have watched you ever since she was a tiny baby and I cannot stand it anymore. Shame on you!!! Poor Ruda!!!!!! Always tortured by KJ :(.  I can’t watch the evil 👿,2023-04-26T09:42:57Z,Negative 😡,-0.154
@monicasilvs4084,Amazing video. Enjoy you together as a family.  Ruda will grow up so fast. And will very well traveled. Sending you blessings.,2023-04-25T22:32:53Z,Positive 😊,0.35
@MoonlitGoddessDeV,Those chubby cheeks deserve hundreds of pobbos on a daily basis to maintain their plumpness.,2023-04-25T13:55:53Z,Neutral 😐,0.0
@specialcookday,똥색 비행사 였네요 🤣🤣🤣🤣🤣🤣<br>파리왔으니까 파리 바갯트 가셔야지 🤣🤣🤣🤣🤣🤣🤣🤣,2023-04-25T12:27:07Z,Neutral 😐,0.0
@yoshi8095,Bienvenue en France ❤️😊,2023-04-25T11:19:14Z,Neutral 😐,0.0
@Elma82,Bienvenue en France et passez un bon séjour. Profitez bien même si le temps n&#39;est pas estival.,2023-04-25T06:03:40Z,Neutral 😐,0.0
@성채홍-x9y,💚💚💚💚💚💚💚💚💚💚💚💚💋💋,2023-04-25T04:38:01Z,Neutral 😐,0.0
@MooncheinHoToNathhuLaalJaisi,"I have said it several times in the past and I will say it again. Ruda is going to be a Daddy-Hater when she grows up. She has been showing all the signs for more than two years.<br><br>Regardless of what you do for your daughters, regardless of all the love, time, money, emotions and most importantly, sacrifices, they grow up and start hating you. Some girls are like that. They grow up to be ingrates. That&#39;s how it is. And you know what the funny thing is? Mothers always take their daughters&#39; sides. They will never, ever tell their daughters to stop hating Dads.",2023-04-24T22:28:13Z,Positive 😊,0.271
@jeefsquaa,this girl gives me this feeling in my heart i dont feel any other time in my day,2023-04-24T21:44:54Z,Negative 😡,-0.125
@gertypietropoli2576,Vous étiez à Paris ?,2023-04-24T16:48:32Z,Neutral 😐,0.0
@minallaoa,Ruda a dit « merde » au lieu de « merci » ptdrrrr😭,2023-04-24T14:18:07Z,Neutral 😐,0.0
@txlz-o1i,루다야 널 어쩜 좋니<br>정말 사랑스러워♡,2023-04-24T13:19:42Z,Neutral 😐,0.0
@bmCommando0,So cute 😍,2023-04-24T05:50:52Z,Positive 😊,0.5
@Masterofcreations,The balloon over Eiffel tower got me.,2023-04-24T02:47:33Z,Neutral 😐,0.0
@pchen88,What is the best way to communicate with people in another language? Is there an app that&#39;s popular?,2023-04-24T00:08:05Z,Positive 😊,0.8
@0319-kw1uj,와 루다는 엄마 아부지 잘 만나서 여행도 잘다니고 부럽네~~,2023-04-23T14:27:59Z,Neutral 😐,0.0
@patriciapalmer4215,"🙁 She&#39;s going through the, I don&#39;t like you ! stage. Lucky Ruda has excellent parents, hats off🎩 ! who redirect her well.",2023-04-23T12:10:52Z,Positive 😊,0.667
@viiishaaaal,After mask ping matter ruda has soft corner to ruru as mask ping was hypnotized ruru....😀,2023-04-23T04:37:48Z,Positive 😊,0.1
@sakshijoglekar707,KJ와 MJ는 당신의 러브 스토리를 우리와 공유해 주시겠습니까? . 우리는 이것을 듣게되어 정말 기쁩니다,2023-04-23T03:18:47Z,Neutral 😐,0.0
@맹뭉-z3s,아 이루다 너무 귀여워 ㅜㅜ,2023-04-23T02:18:44Z,Neutral 😐,0.0
@펼쳐진책은밤,민정님 얼굴이 홀쭉해지셨어요! 아직 파리이신가요? 여행 건강히 잘 마무리하셔요~!✨🙏🏻,2023-04-23T00:18:23Z,Neutral 😐,0.0
@valentinaangeles3520,vengan a Madrid 💕💕,2023-04-22T22:32:49Z,Neutral 😐,0.0
@oceanix460,bienvenue en france j&#39;espere que vous vous regaler et profiter a font,2023-04-22T22:13:03Z,Neutral 😐,0.0
@ЛарисаЗаец-с6х,Красавица Руда! ❤️❤️,2023-04-22T19:56:02Z,Neutral 😐,0.0
@sakshijoglekar707,KJ and MJ can you please share your love story with us? . We are really excited to hear this,2023-04-22T18:38:38Z,Positive 😊,0.438
@Laurita.Duarte,"Depois do descanso, o humor de Ruda melhorou. Amo ver seus vídeos.",2023-04-22T18:28:34Z,Neutral 😐,0.0
@MikeWildfrog,"Why did Ruda cry ? Because her 40 + year old father is continually. making her cry when she is tired, you don&#39;t know this is your answer.?<br>Grow up man and stop tormenting the child, you think she is a toy.",2023-04-22T17:44:33Z,Negative 😡,-0.15
@alcinamariagomespereira7589,Beautiful girl!,2023-04-22T15:23:22Z,Positive 😊,1.0
@marianneprescott1497,"What a sad little sweetie, she is so tired. Good she has RuRu with her this trip. We have never seen her cry like this although I’m sure you have. Poor baby. Sweet Ruda will return after sleep.",2023-04-22T14:34:40Z,Positive 😊,0.009
@gccg3646,😀😀,2023-04-22T14:30:59Z,Neutral 😐,0.0
@kwskm4771,루다가 혼나니 엄마까지 마음이 상했네요.<br>아빠에게 상한마음 엄마에게 의지하고픈거에 <br>먹이지마는 표현이 직설적이어서 설움을 더해 주는 같은데요.,2023-04-22T14:01:17Z,Neutral 😐,0.0
@bibbidibambidiboo5208,아 맞다!!! 이미 한국 오셨을래나. 인스타에서 유모차 뺏겼다는 글 봤어요..ㄷㄷㄷ 파리에 또 조심할게 한가지 더 있는데 야바위꾼이에요!!! 절대 하면 안돼요!!!!! 사기에요!!! 돈 무조껀 빼껴요. 야바위꾼 둘러싼 사람들도 다 한통속이에요. 저도 한번 뺏겼다가 다시 돌려받긴했는데 정말 험난한 경험이였어요 ㅋㅋㅋ 기분좋게 여행갔는데 안 좋은 얘기해서 죄송해욤😢 이젠 좋은 일만 있길 바랄게요🙏 루다가족 화이팅 ❤❤❤❤❤😂😂😂😂😂😉😃😉😃,2023-04-22T13:43:52Z,Neutral 😐,0.0
@shyshybebe,Love your adventure in France 🥰❤️🥰,2023-04-22T12:06:40Z,Positive 😊,0.5
@권정기-v3q,루다 오랜만에 보니. 많이 커버렸네,2023-04-22T12:01:23Z,Neutral 😐,0.0
@권정기-v3q,루다 오랜만에 보니. 많이 커버렸네,2023-04-22T12:00:41Z,Neutral 😐,0.0
@CB-bg3lj,"bonjour de france <a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>",2023-04-22T11:39:14Z,Neutral 😐,0.0
@linh8310,Bienvenue en France 😊profitez bien de votre séjour 🌼❣️,2023-04-22T11:26:33Z,Neutral 😐,0.0
@Klara_Red,I&#39;m French and I&#39;ve been enjoying watching the little adventures of Ruda&#39;s family for a while now. I&#39;m happy to see them visiting my country (too bad for the weather though...🤭)! Bienvenue en France! 😉,2023-04-22T10:55:48Z,Positive 😊,0.023
@주환김-v6c,아빠가 잘못하셨네ㅠㅋㅋ<br>근데왜 슬픈 웃음이나오네요,2023-04-22T10:43:25Z,Neutral 😐,0.0
@alicetudo2127,Tão linda,2023-04-22T10:35:37Z,Neutral 😐,0.0
@glamberkitten,She is so smart and questions everything; it’s hard to remember that Ruda is really still a baby!,2023-04-22T10:04:50Z,Positive 😊,0.058
@러브샷-g9f,아고고 이쁜이,2023-04-22T06:10:54Z,Neutral 😐,0.0
@Aurora150264,"I always ask me, why you can travel so much. Do you have so much holidays? And then this hotel near by the Eiffel Tower is surely very expensive. So you don´t have to work much and have so much money. I don´t want to know if you earn much money, but what is your profession where this is possible? I thought in Asia people work a lot and normally don´t have a lot of holidays. In Germany it is normal to have 6 weeks a year holidays, in Europe this is standard, but in Asia or even in the USA they often have only 2 weeks of the year holidays.",2023-04-22T04:23:21Z,Positive 😊,0.062
@k4mzwrld,Be careful in France there is a lot of scammers and pick pocketers,2023-04-22T02:27:15Z,Negative 😡,-0.1
@elisabethsherifi9547,Ich versteh nicht ganz wenn man in Frankreich ist und dann noch koreanische essen geht...also dann kann ich auch zu hause bleiben. Dann noch so eine schnutte ziehen weil es nicht so schmeckt wie daheim. Natürlich hat dann diese kleine Diva auch Ansprüche...na dann viel spaß. Möchte nicht wissen wie das wird wenn die mal 13 ist. <br>Esst was da üblich ist....<br>Schöne Ferien und alles Liebe,2023-04-22T01:43:48Z,Neutral 😐,0.0
@_quesiasantana,Tem que vim pro Brasil também,2023-04-22T01:02:02Z,Neutral 😐,0.0
@georgie9722,"Ruda was in Beaugrenelle were i was living manynyears, ileft in 2020 . Paris 15 Charles-Michels.",2023-04-22T00:23:16Z,Neutral 😐,0.0
@davysihn2633,ㅎㅎㅎ 귀여워,2023-04-21T23:45:50Z,Neutral 😐,0.0
@gessgerard2391,"Ruda é uma criança que crescerá com lindas e especiais memórias, é admirável!!! 🤗❤",2023-04-21T23:21:34Z,Neutral 😐,0.0
@lauralaladarling3775,"Ruda is such a beautiful, enchanting and intelligent little girl. I think she was very good to be so calm after such a long flight as children&#39;s ears often hurt and feel uncomfortable. Ruda was just tired. I love the clothes you bought her; she looks like a gorgeous, bright and happy doll. Such an affectionate little girl and lucky being in Paris with mummy and daddy. Thank you for this lovely vlog. ❤xxx🎉",2023-04-21T22:46:29Z,Positive 😊,0.282
@TheRealLeaaa,"Haha, bienvenue en France, j&#39;espère que vous pourrez visiter d&#39;autres endroits que Paris car il y a de beaux villages à visiter ici 😘",2023-04-21T22:41:20Z,Positive 😊,0.2
@GoGo333,"이 채널의 이름을 &quot;루다와 함께 여행&quot;으로 지정해 주시겠습니까?<a href=""UCkszU2WH9gy1mb0dV-11UJg/hm5IY4W-H9SO5QS6n4CwCA""></a>",2023-04-21T22:04:30Z,Neutral 😐,0.0
@sylvainelouisemarie6117,"Mince, il ne fait pas très chaud chez nous en ce moment . Je suis désolée. Le printemps est moyen cette année. Mais Ruda a très bien dit merci. Bravo",2023-04-21T20:39:09Z,Neutral 😐,0.0
@GildaAssis-uf6wf,Não quero vê lá chorando. Fico muito triste,2023-04-21T20:35:47Z,Neutral 😐,0.0
@sylvainelouisemarie6117,Bienvenue dans mon pays!,2023-04-21T20:30:49Z,Neutral 😐,0.0
@dani-ft5k3,똑똑한 부모  똑부러지는 교육<br>똑똑한 유전자 물려받은 애기 <br>영상 하나만 봐도 딱 느껴지네,2023-04-21T19:41:11Z,Neutral 😐,0.0
@هنيةنجيم,Her voice seems like Rida sick,2023-04-21T19:36:21Z,Negative 😡,-0.714
@safacon54,🥰🥰🥰😘😘😘😘,2023-04-21T18:40:33Z,Neutral 😐,0.0
@tabihobi,"I really love that KJ apologized to Ruda when her misunderstood her reason for not wanting to eat the food. That&#39;s truly commendable parenting. Apologizing to kids needs to be normalized. It&#39;s okay to be wrong, it&#39;s a great way to teach children accountability as well.",2023-04-21T17:38:13Z,Positive 😊,0.325
@gretaaarons4941,Ruda rarely cries after waking up but poor child must be jet-lagged. She needed a little time to adapt. She is a quick learner.,2023-04-21T17:37:35Z,Positive 😊,0.011
@bmmj1993,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2023-04-21T16:38:06Z,Neutral 😐,0.0
@taly3539,Parce qu elle a croisé Macron!!,2023-04-21T16:31:18Z,Neutral 😐,0.0
@brunabrancaccio3713,It was a long trip,2023-04-21T15:51:56Z,Negative 😡,-0.05
@nancyley7470,Lovely family ❤❤❤❤❤,2023-04-21T15:27:37Z,Positive 😊,0.5
@공쥬-j3k,루다야~ 좋겠다❤,2023-04-21T13:59:08Z,Neutral 😐,0.0
@사소한이야기-h7q,잘다녀오세요!!!,2023-04-21T13:58:19Z,Neutral 😐,0.0
@estherjeeyongshin1172,루다 또 해외순방 나갔네욤❤ 아이고 루다❤ 외국에서도 통하는 귀욤 글로벌 스타 루다❤ 저번에 입었던 옷 또 입었다!! 너무 귀여웡 ㅠㅠ 잘 어울린다고욤 ㅠㅠ 루다 양머리 했네욤 아오 루다야 너무 귀엽고 이뻐❤ 정말 루다랑 닮은 아기 낳고 싶어요...ㅠㅠㅅㅠㅠ 아..........진짜...........!!,2023-04-21T12:27:03Z,Neutral 😐,0.0
@Shinyme-rg1vq,"Bienvenue en France Ruda😁La France vous Adore, profitez en bien😃",2023-04-21T12:05:49Z,Neutral 😐,0.0
@강명지-e1y,"인스타에서 울 루다 유모차 도둑 맞았다고 하셨는데  루다  애착인형 루루는 무사한가요???? <br>아니 아기 유모차를 가져다니 어이 없네요  🤬🤬🤬🤬<br><a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=722"">12:02</a> 루다의  또 다른 사랑스런 모습  <br>사랑둥이 울 루다 ❤❤❤❤",2023-04-21T10:06:26Z,Neutral 😐,0.0
@ranausman6676,❣️🌹❣️ Pillow,2023-04-21T10:02:56Z,Neutral 😐,0.0
@ranausman6676,💐💐💐Blanket,2023-04-21T10:02:46Z,Neutral 😐,0.0
@ranausman6676,❤️🍫❤️ RUDA,2023-04-21T10:02:16Z,Neutral 😐,0.0
@ranausman6676,Anyoung 😘❤️😘,2023-04-21T10:02:05Z,Neutral 😐,0.0
@아카시아-m6h,루다 또래 아이들과도 의사소통이 필요할텐데.,2023-04-21T09:59:03Z,Neutral 😐,0.0
@ranausman6676,Khumawa,2023-04-21T09:57:13Z,Neutral 😐,0.0
@ranausman6676,Very beautiful place RUDA,2023-04-21T09:57:08Z,Positive 😊,1.0
@ranausman6676,EKU Eku Badoo,2023-04-21T09:56:58Z,Neutral 😐,0.0
@MariaDosocorro-dp4px,"Ruda divirta-se em Paris , vá a Eurodisney é linda, vais gostar pequena e seus pais também .beijos de sua amiga brasileira.",2023-04-21T09:54:35Z,Neutral 😐,0.0
@玲玲姐的生活日志,너무이뻐❤ 근데 코세척기 로 코세척해주시나요? 코하고 목사이에 가래같은 콧물 있는것같아요.   너중에 아이 얼굴형 변할수있어요,2023-04-21T07:06:27Z,Neutral 😐,0.0
@이유미-m1v,아빠를 넘 좋아하고 사랑하니까 더 서운해 하네요 강아지 😂,2023-04-21T07:04:47Z,Neutral 😐,0.0
@cute_twins,루다 너무 귀여워요~~,2023-04-21T07:02:09Z,Neutral 😐,0.0
@juliereve3926,"Bienvenue en France, même si il y a la révolution un peu partout pas facile !!!",2023-04-21T05:51:53Z,Neutral 😐,0.0
@onepiecefan000,"Que lindo estar en paris, que linda Rudaaaa c:",2023-04-21T04:05:16Z,Neutral 😐,0.0
@elisapascual9264,Passing traducción en español traducción,2023-04-21T03:50:04Z,Neutral 😐,0.0
@TheNoticeable,Wow MJs jawline looks really slimmed down shes looking really good. Fighting MJ!!!,2023-04-21T02:16:03Z,Positive 😊,0.286
@EC-gq4xx,It&#39;s probably jet lag that made Ruda grumpy.,2023-04-21T02:09:35Z,Neutral 😐,0.0
@jypark699,메르찌 하는거 귀여워죽가따~~❤❤❤,2023-04-21T02:02:07Z,Neutral 😐,0.0
@seohlucia,제가 사는 동네네요ㅎㅎ 회전목마같은 놀이기구 조카들이 타면 좋아하겠다 했는데 귀요미 루다가 탔네요♡ 행복한 여행되세요!!! 걷다가라도 보고싶은데 좋은 추억 만드세요♡,2023-04-21T00:33:33Z,Neutral 😐,0.0
@CAFEX24,dad is A-hole and one day his daughter will let him know it,2023-04-20T23:56:04Z,Neutral 😐,0.0
@filiztatar9807,Ruda Türkiye ye de gel ❤️🥰😘,2023-04-20T23:09:32Z,Neutral 😐,0.0
@Cris-tr8lx,"In April, of course it&#39;s cold in France! Warmer european countries like Portugal and Spain are cold in April, let alone in France! 🤦🏼‍♀️",2023-04-20T23:05:00Z,Negative 😡,-0.5
@pamelaherbin9969,"Pretty girl Ruda,<br>You have certainly  traveled  the world and learned  to speak the language  as well. I am not used to seeing you upset, but it got better. You look so pretty in your brown dress/sweater combo. So cute !Another fun trip for you. 💕",2023-04-20T22:58:32Z,Positive 😊,0.357
@YOUHE.,Did anybody else realize that the channel is almost at 1 million subscribers ! It’s very good it’s almost at 1 million❤!,2023-04-20T22:23:27Z,Positive 😊,1.0
@백노현-q9k,ㄹᆢ다야 ᆢ잘생긴 삼촌 여태 술하구 ᆢ그래 루다야  ᆢ절때 아푸지만구ᆢ래 삼촌 잔다 ᆢ 나중. ᆢ,2023-04-20T21:14:01Z,Neutral 😐,0.0
@bb_nim,Coreano é um idioma tão bonito!,2023-04-20T19:52:58Z,Neutral 😐,0.0
@bb_nim,Ruda é tão fofa e inteligente! ❤,2023-04-20T19:46:04Z,Neutral 😐,0.0
@arkangeltrujillo1383,Awe so sweet,2023-04-20T19:42:05Z,Positive 😊,0.35
@brendonspence2933,I love 💕 you&#39;re family. Safety travel.xoxo.,2023-04-20T19:40:43Z,Positive 😊,0.5
@vanessanzr,"Awww Ruda está bien hermosa ,quiero que mi hija sea como ella ❤",2023-04-20T18:28:31Z,Positive 😊,0.4
@isaganicabigan9695,❤❤❤Ruda was amazing especially her thought reaction on every videos😊,2023-04-20T15:06:26Z,Positive 😊,0.3
@김썬-t5z,"애기루다부터 봤는데<br>침대에 뒹굴하는 루다를 보니<br>정말 많이 컷네요 :)<br>루다의 맑은 웃음에 미소가 절로 지어집니다 :) <br>루다야, 이모 나쁜 사람 아닌데, 이모 손도 잡아줄래?❤ㅎㅎ",2023-04-20T15:03:29Z,Positive 😊,0.5
@skipperson4077,Ruda so cute!! I love travel but travelling is so hard!<br><br>very much takes me back to my first day in Paris and our first meal there. C&#39;était bon! (was good!),2023-04-20T14:55:52Z,Positive 😊,0.417
@samirkhastgir5789,Ruda sooooo cute baby 🍼🧸🐥🐥🐥🐥🐥 muhaaaa. Enjoy in France.,2023-04-20T14:31:24Z,Positive 😊,0.45
@bka8529,한번 안아주고간데~~~이뻐라~^^♡,2023-04-20T14:26:44Z,Neutral 😐,0.0
@tatjanafilipovicgrcic3953,❤❤❤❤❤❤❤❤❤❤❤,2023-04-20T14:26:40Z,Neutral 😐,0.0
@paulaparham6591,I was the little shopper like Ruda and I love to see what she&#39;s wearing ❤nothing like shopping and good snacks 😊,2023-04-20T14:17:48Z,Positive 😊,0.337
@lucas-tm8ws,Bonjour je suis français je suis dans le nord de la France dans la ville de Valenciennes,2023-04-20T14:00:07Z,Neutral 😐,0.0
@dirkweigl5859,"Because, only Black people😂😂😂",2023-04-20T13:39:59Z,Negative 😡,-0.083
@batman1999ful,Yeah. Ruda so. Enjoy trip in France 🇫🇷 😎 ❤😅😊that so nice video.. ruda love parent ❤️ ♥️ 💕 💖 💗 💓 ❤️ ♥️ 💕 💖 💗 💓 ❤️ ♥️ 💕 💖 💗 💓 ❤️ ♥️ 💕 💖 💗 💓 😅😊🌎🌏😊😁😉👍🙋‍♂️🦄🤴👸👸😘🙂😁😄😎👍👍👍👍👍👍👍👍✌️😅😊,2023-04-20T13:39:16Z,Positive 😊,0.5
@elovlnd1436,Welcome in France ! I hope you will like your stay in my country 😊,2023-04-20T13:19:23Z,Positive 😊,1.0
@carmengimenezcortes8813,Perdona estás en Europa,2023-04-20T12:27:36Z,Neutral 😐,0.0
@Lauralamarque0683,"Adorable petite ruda, c&#39;est difficile pour elle, c&#39;est un bébé je la trouve très patiente et courageuse, bienvenue en France adorable petite fille",2023-04-20T12:10:35Z,Positive 😊,0.5
@박용환-t9o,"누군가 혼내면 한사람은 품어줘야해요. 컸을때도 한사람은 무조건적으로 탈출할 곳, 레푸기움이 되줘야해요. 냉담한 말투는 아가에게 큰 상처가되니 꼭 부드럽게 말해주세요.",2023-04-20T11:31:30Z,Neutral 😐,0.0
@이경은-k5u,루다너무귀여워😊,2023-04-20T09:44:27Z,Neutral 😐,0.0
@TheRatm1357,루다 출세했네 프랑스도 가구 ㅎㅎㅎ,2023-04-20T09:38:26Z,Neutral 😐,0.0
@Miaaaamm,"<a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=26"">0:26</a> 코자는 루다 <a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=53"">0:53</a> 볼살 너무 사랑스러워ㅠㅠ<br><a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=60"">1:00</a> 찌부된 볼살 ㅠㅠ<br><a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=226"">3:46</a> 아빠 쳐다보지마 ㅋㅋㅋ 삐순이 아기루다<br><a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=331"">5:31</a> 뒹굴거리는 루다<br><a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=728"">12:08</a> 아빠 같이먹자 이장면 현직아이돌같아 루다야 ㅋㅋ",2023-04-20T08:50:19Z,Neutral 😐,0.0
@radyrady4419,Enfin on voit ruda se comporter comme nos enfants😅. Je pensai que mon fils est anormal quand je vois ruda rigoler tout le temps.merci de montrer ces moments ou elle est boudeuse. Je vous aime.,2023-04-20T08:46:05Z,Neutral 😐,0.0
@Kingsiyeon,디즈니 랜드에서 유모차 사건 인스타로 보았어요ㅠㅠ다이나믹한 파리 영상이 될것 같군요 ㅠㅠ 휴!!!!!! 루다도 민정님도 경진님도 행복한 파리여행이길🙏,2023-04-20T08:40:11Z,Neutral 😐,0.0
@Kingsiyeon,눈물 젖은 밥ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오이구 이쁜시키♥️♥️,2023-04-20T08:38:11Z,Neutral 😐,0.0
